index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(1,),-0.5363757734348202,-0.2012205439047106,-0.8049288621428201,-0.0009238364737522708,0.6092275912615557,-0.400858120190879,0.3827733210881261,0.1615933752494843,0.02783187975382628,-0.05355356585569793,0.1818576779472666,0.4052839358090319,-0.2397993915261934,0.3509258311996672,-0.225736411822164,0.08302772531755115,-0.122009706177824,0.1727554689169662,0.6519747651650881,-0.493822461831442
(2,),-0.05136745211718885,0.003179440348590079,-0.2476403397678984,0.8587858426095263,-0.1032126207393975,0.1156308546922543,-0.3995487105237347,0.2485121560175609,-0.5119559438218779,0.224022835852203,-0.06589840861433263,-0.05437717932323671,-0.01521117837217212,0.1196204546310832,-0.5210018210325931,-0.04399057878903656,-0.6005304518909466,-0.1713435137077842,-0.2531487494264876,0.5256177791492593
(3,),-0.2073259277130216,0.4223011987714007,-0.5489971499082948,-0.8016571798686877,0.1953259942826419,-0.8819207872576356,-0.1068120629221888,-0.092364980408706,0.1861676188478255,0.02704531211775563,-0.2792678434366301,0.2765851518366745,-0.4041220625835836,0.0936948795524945,0.9249302125942039,-0.5068444778330851,0.4163708541927873,0.1899847630204304,0.2162065540024048,0.7074475315253729
(4,),-0.5251671882586528,0.3527272300039428,0.678117225258221,0.4479846916753859,0.2740132731258669,-0.8057777500700918,-0.2317125015118896,-0.8686563705103032,-0.01829321192238181,0.0981598180413864,-0.2187964892777112,-0.3132587861114308,-0.6808817689049258,-0.1775776865466209,0.2750404773897671,0.1738275945040053,-0.359658841953846,-0.494603217600067,0.5343677595729839,0.5209244938843574
(5,),0.4457690589662363,-0.4001634903274204,-0.1742278216757492,0.6898625277170427,-0.6942494674319846,-0.001272669467490717,0.000273323360491462,0.6287620844443658,-0.2924892399161378,-0.1530360401274208,-0.03006430981581287,0.07590493245805174,0.6156453735613859,0.4029042377829188,-0.5593084161553057,0.01917752900910996,-0.3980944439857947,0.565152857852284,0.3829031043608391,-0.3517444366096901
(6,),0.01973150308944494,-0.3481485775197105,0.4437014758365443,0.03292171292864756,0.03666233334877006,-0.3715328189437815,0.3429081188203002,-0.1191088469765492,-0.1171130154289453,-0.03521795818096762,-0.9615581856795486,-0.543520425778875,0.07151645456630773,-0.09407024083806359,-0.1993181346378583,0.1375738629576788,0.172952462962258,0.3294647785177109,-0.03549314570306944,-0.1439397823470385
(7,),-0.02931378388207029,0.1030619278724033,-0.004722008478481698,-0.3503043038093842,-0.5116757358291244,-0.2457536448558944,0.02822367053778946,-0.02397432956930839,-0.01481188921312515,0.1760500874847709,-0.2886542636453197,-0.3223810014661899,-0.2482183817857084,-0.5264404237093404,0.3190736180217448,0.4674239348424156,-0.3319488556295813,0.538602952947707,-0.210932943842728,0.6953765053366521
(8,),0.03228421190740827,0.1231198047310344,0.02855424799092732,0.2374440350497629,0.3963497224531723,-0.46725604218431,-0.4309683928440756,-0.2118476149003885,0.6821022995094383,0.08040637772916581,-0.1835504955714785,-0.04139985471987473,0.6852941130241222,-0.2323639984770527,0.6851500754169967,0.3152329595812863,0.5462076125495685,-0.2650063461188614,-0.3846539334025033,0.141902094453886
(9,),0.1973825044997091,-0.6953795258050303,0.2244820912883707,-0.4598760082367784,-0.7254161882981072,0.2659880676225426,0.4303624846333433,0.6320793286793729,0.08493493664453433,0.1450303129169502,0.1474925335076132,0.6818808299147611,0.4570492455636185,0.4355209112925859,-0.2278836720745998,-0.2696583750067862,0.1544215599702809,-0.1157182962402116,-0.3137105405694556,-0.2390553668982395
(10,),-0.4517836453264845,-0.2352390545543727,0.189751712717237,0.5467228724278284,0.2550796504836415,0.3444769242292645,-0.4168894816842809,-0.6160749407573578,0.2186616928730926,0.2154427835263257,-0.7659399975176797,0.4737097587488619,0.114411905722787,0.2450991694283536,-0.1289372712254317,0.4987149232637264,-0.4919596084894314,-0.1399438416452707,0.2239138176072876,0.001578695923276308
