index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
(1,),0.4030952450556722,0.5214528046163154,0.7471676598388324,0.6729169829508659,-0.08386115521004611,0.5274566072525433,0.2958755187672448,-0.5711424821287352,-0.6166430233586178,-0.6712078522727918,-0.02838400999028839,-0.03035731192295377,-0.5361677846651384,0.5614151242169432,0.07283738656727182,-0.05995815855649067,-0.09629749545724606,-0.6403757727877731,0.0535903055657386,0.1055933193843399,0.3357175196204913,0.1516731936168174,0.5527222338874046,-0.8141171845387559,0.2117646995383933,0.7306131715754346,-0.1897545491885697,-0.6940158052048375,0.254293291530062,0.2115004320513348,-0.7737402030550371,-0.04454364612286366,0.3055520047240379,-0.2550849333200379,-0.3796426709949172,-0.5256903362679433,0.2982369759106378,-0.2838028099213549,-0.3989307100016861,-0.2233632817788108
(2,),-0.5397085249057387,0.6191721135506344,0.01115386800362828,0.0676997066499358,-0.01213048725695171,0.2507703139141731,0.09467722293974168,0.7221906968118986,-0.3717899042389664,-0.647434428525973,-0.06280143044075792,0.3058931939576098,-0.404475519580078,0.1693396177168628,0.6980031382924959,0.0367529155712169,-0.5060349823413824,0.0100152670561483,0.4160165661739626,-0.5428360192636413,-0.8322740161860218,-0.2337847199311973,-0.3148797140465807,0.01604974857989194,-0.3279456373635363,-0.07273203495422798,0.08482993183482779,-0.1871811035316648,0.5731157517946537,0.09870975025357753,-0.2130480175204122,-0.2489734503100458,0.3949404717563142,0.04271805029653442,0.4067340347538259,-0.1296370664674579,-0.7553487811627437,0.1155156429182315,-0.04538896353051055,0.3842996950057088
(3,),0.2874927321894322,0.07147747099058255,-0.06003959001923553,-0.2500451061901762,-0.2876156705456804,-0.1655860763954325,-0.06772394583019933,-0.123783873166548,-0.09091879923304941,0.4611715402545627,-0.4452430620419809,-0.3017436641865344,0.0224752807469753,0.474760685300284,0.6755241000310191,-0.1186693549176527,0.7260785090336753,0.4525043816937062,0.2398977901838188,0.4483473715808275,-0.01910496339367274,0.3349669467073008,0.6151361775059028,0.2251056117372325,0.083210597590893,-0.3094480065425393,0.1287220597552961,-0.2343516463832458,-0.09860265674421209,0.4793982715828491,-0.5346378729666403,-0.07800518674280743,-0.0680930595787525,-0.3231579206066739,-0.164059773944777,-0.8873581856229494,0.6918702294265676,-0.3812580088035782,-0.8696613800198306,-0.3451663773338803
(4,),-0.3556859592067965,-0.2151076837611865,-0.3495388197067619,0.447296106189104,0.1136122010126627,0.5891939107041806,-0.6503552880303864,-0.4861718401205734,-0.6137784807638307,-0.4661584708390902,-0.513989566390452,-0.2400016470084402,-0.05843256727605217,-0.5571079712634027,-0.01893100742008663,-0.6141483680879527,0.458414330598352,-0.2226950203818695,0.4325869294319669,-0.1022414513682713,0.2902464705050308,-0.03978548719098685,-0.6334636277695478,0.4048259379018311,0.06233623916342451,0.2279023547060938,0.3072085426448656,0.1760573454841325,0.07886696896957673,-0.06579598205571888,-0.2616718125847234,0.1751601585632818,-0.5511983733740355,0.2301605325875284,0.4956084936601581,0.01301607868519106,0.02239598070144644,-0.06323279658846603,0.1272009591087011,-0.2378241385647936
(5,),0.02666624644004789,0.3763483606099063,-0.1243681283650813,0.2058541361287535,0.1538463769444888,-0.62892015418814,-0.3726499360339911,-0.278682999960209,-0.3291958133654055,0.4693336578845983,0.1921820965508914,-0.4873317572485107,-0.2275274869810809,-0.02194240016708426,-0.3286398392042065,0.1425742828550304,0.7611189450846878,-0.05152915546043702,-0.5239583906783445,0.5014607294079093,0.2849715484873012,-0.9128644858738775,-0.535229866246535,-0.6087175306610799,0.1261018601268279,-0.04353843621811482,0.2630068891283086,0.1639416561026736,-0.2341219289001197,-0.4401347687773722,-0.3660572077508297,-0.5595711591736006,-0.2440889863597752,-0.5101481487592681,-0.04705860080684515,0.0645330365685721,-0.4468574622957058,-0.3551813096739365,-0.4437716336854645,0.1039979843783669
(6,),-0.06350298708810653,-0.4206082664140818,-0.0009307370674268567,0.0485307608562201,0.09249419768879474,-0.08414882098627263,0.2680881953466228,-0.1330190621561593,0.1460824944939045,-0.4158050550370186,-0.4244645976862262,0.3416491630769624,-0.2060776255373623,-0.0755036410211326,-0.2379752304801694,-0.8589940986063533,-0.6288260628311926,0.7285822457248632,0.143105777392098,0.202757233904213,-0.1125915251909895,-0.06410468696756533,0.02985634115546903,-0.4786874420073318,-0.2610016187465275,0.4124013883077176,-0.7668174438809645,0.2029755906338132,0.1074635224057264,-0.006934622222359826,-0.05549747236640867,0.4476171308795369,-0.544187612295834,-0.06100925068137097,0.8912510018693622,0.4993210744507678,-0.3354523366124449,-0.04881337546510728,0.06063434159424697,0.8407013543052502
(7,),0.1118887903551375,0.1186861402625662,-0.3597943296758151,0.05851109911981822,0.1295013801381932,0.05302298994949306,0.6570842345748619,0.6592616554317312,-0.07847883435538923,0.2514583574945539,0.3812422287380133,-0.7306717521985989,0.3375248151492233,-0.1783801395054402,0.3444840990127164,0.4064652977254611,-0.3801365559646731,-0.06413141284671986,-0.4765365847415045,-0.7203806870409026,0.0683088632726147,-0.4327521432781326,-0.541587062696369,-0.4893491910721782,0.7977059710100889,-0.004417408672539854,-0.5998006010280515,0.06232249836293657,-0.2052700751534516,-0.1846188350456635,-0.08687868705836438,-0.6256575692852551,-0.2006198986628819,0.2464892653365979,-0.2019109088701486,0.2945112572479176,0.2587543121031211,-0.07885454464063102,0.0262091111577305,-0.09702894163889855
(8,),0.2898552118182581,-0.4248233516148684,0.2863069274393485,-0.3563670876123716,0.9579853752154541,-0.03100463720105728,-0.02035287516083006,-0.6049239514218886,-0.1116042666078061,0.02186061908995268,-0.3973003500781437,0.4803987450396082,0.02541759403758637,-0.1279940754736318,0.08665313437677864,-0.1446274325124512,-0.81447732303797,-0.2019787130271367,0.2056215980915034,-0.02510189631244342,0.8498436526991151,-0.1872556909766664,-0.2447937409575698,-0.5587650920749598,-0.007493022546583683,0.005514381617159239,-0.9093666779685197,0.04195684987801207,0.09640301708826249,0.03865629292949124,0.9778400528460814,-0.09766409067534965,-0.05715064583966314,0.262672946090878,0.1086932633233439,-0.1470107158952114,-0.5789120624919957,0.4301264760448597,-0.1842165925973258,0.08442693146605645
(9,),0.2429214433663031,-0.1560032446350778,-0.4635055289461671,0.03066220380527862,0.1363682219699445,-0.2565820307736962,-0.365625717031809,-0.08430477671488901,0.04811389502431196,0.3196645124530326,0.2826867254155558,0.4374004167432538,0.4293010233459744,-0.122909514262292,-0.5263129832726775,0.2467655254759159,0.1716814075202127,-0.6185205972750661,0.5120192495532682,-0.4368211918531758,-0.6193300249326228,-0.635872329775228,0.511092751686371,-0.4992245782360802,-0.0009408549598100835,-0.1476882141571011,-0.1792155400181702,-0.5169344629349115,-0.4182850123541761,0.3672518052861178,0.3913608836790834,0.009327845524741307,0.172991133637522,0.3826924960374791,0.5154116428017579,-0.8149986713912907,0.08717313760690748,-0.8317506189355026,0.001460872459866591,0.04984285586680615
(10,),-0.2630112596058914,-0.1032964733042546,0.1598759835760949,0.2077893616892794,-0.8407683074719454,0.06837170560099348,-0.268326150549259,-0.6543602749551127,-0.8222499400157773,0.5883084335021227,-0.01007576571054336,0.797305629790369,0.2727663967857628,-0.06282486573191104,0.2843906674311554,-0.2115511534898762,0.2399795253988793,0.117457999176281,-0.4232175555984939,-0.620056563513459,-0.01494578215279829,-0.2338416289222927,0.3143470122298445,0.6194620130497068,0.06871711986801377,-0.04030369288760155,-0.1855660086971192,-0.0183441126797409,-0.3514830537711148,0.399460525226214,0.3320077155349319,0.3680305018936689,0.1121372280756298,0.5326971328967539,0.04989733554057219,0.2820894866153124,-0.1955906234627628,-0.7014586148521363,0.5147251950154123,0.3222494373771576
