index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
(1,),1.878313143228989,0.5104303768612115,1.849476290807176,2.946515911557774,6.759422841177012,7.154835753085595,1.488568292178319,4.000382858169245,7.12510193879431,4.579794427151611,5.099989988244347,0.3030593031719636,1.551732270783052,6.012394055884086,5.754111192841624,7.976331884607168,6.993937720666374,5.495677569323872,6.163214677639788,2.109884076607456,6.147171125578608,7.914845054216706,0.1681487283879599,3.701656394116037,4.974806468371452,4.700790529226748,4.776150768834052,2.074506964628056,0.6767923943168744,1.609200060297624,5.320990707145629,6.207527226948711,1.376106214853573,4.589651172267624,1.628062072312311,1.21842127621165,2.846863704143832,4.154969095154136,4.36760635851256,7.945779113426171,5.756563574077964,7.765730043149435,0.3213918915859769,6.557366254252528,7.940899397667382,1.926528975255118,6.671542103974452,3.47658765854349,0.5046500422505534,4.879403241710377,7.763687241887054,7.022665550071627,1.570241075292409,5.610568259506025,5.339041276524518,7.102468291411014,7.853023414424761,0.8734667375324248,0.5494426097348548,7.147818815594933,0.02293101934638686,1.852581014928205,4.206670592811416,0.3252184676442704,3.321565348952932,1.452993860920461,2.424117362161037,0.6767655072954795,4.441946476087422,4.471140935440985
(2,),3.844910542656987,4.842148485229723,4.044818400870453,2.985956260623815,7.593481076867809,0.07626201463188383,1.723451215438873,2.634082797564026,0.1205093349916248,1.570967959461301,6.094733181582439,0.6948526814109622,7.29295706871733,5.003636562328951,7.73180787582574,6.742595172528504,6.998681123733249,2.379122693369198,4.91143934844219,7.295649738868145,7.708227712977489,1.367309708349837,5.308993754334483,4.689295869567848,7.008755116016292,5.909692769336483,3.339472994448759,0.08751877108872631,1.382104475959429,1.146291536720285,2.504068487914041,2.110137408313505,6.413996914625671,3.781573567184011,1.891686381141434,5.622205677546025,2.145527497828933,4.816787965610876,7.806577261007416,2.835710341107691,5.063583097905378,7.744114510608053,1.713296142115981,5.644233241369408,7.105896078893637,0.998600747383556,4.394484420787499,5.468182548620515,4.714386991750485,3.680594548559097,0.3250009061680208,4.224724481443472,7.392265842043538,2.579551342942473,3.289521196625224,6.941984606392445,0.4282697368399758,7.799400512470493,7.244842835007596,4.245117412082949,4.827276777253284,1.762436594874468,0.9150761454467283,6.306368564220885,3.376731617214216,5.013245738735674,5.124543087040051,7.914547993096733,3.338021416737337,5.747963855303501
(3,),0.7158933268525531,7.799896417244267,2.323169495530264,7.143952812904828,2.085074559605781,1.869997641852554,0.09543126958086055,5.534296490380894,7.238934372538667,5.308457191487864,6.323415548255299,1.015481759504627,7.053351199124572,4.752440096799199,4.77116976098504,5.581015067617606,4.713058574563057,3.498067966658601,3.918216837719541,4.75861260164735,6.336774500859585,5.764262062250019,6.273343411960145,0.8293548709124346,7.070913254017062,3.024130925219948,1.392415974806029,6.614656421389824,7.4911039143796,6.935550586490439,5.920630516818624,3.781510200643406,5.531090211067318,4.695530571049901,3.527098053135549,1.470209238748809,0.7004799273485824,1.556273511279493,3.286339351890674,4.163731107269955,3.031065370712695,3.899341758536836,7.396255185107399,5.553322676994369,5.109834810689772,3.088713401716047,5.647952376179182,6.909321636193975,6.273483183838472,5.347028849057176,2.771611237078627,2.951070068421793,5.087084255699496,0.9889968252282526,3.902126260685791,0.08195025607655822,3.21383414990823,0.8909304314177405,2.537278131273259,1.773604177184865,2.942850534332511,2.341257711315064,2.92362227515461,0.7821992440217566,3.167265141356161,0.727949855788557,4.723424728782462,4.086422640637897,1.232036752732433,6.793382963961408
(4,),6.448348019963245,2.612435972134957,5.013110729479139,2.199623671203621,4.131143127703104,6.667525465504968,1.569880459165951,0.3270587856755214,0.1410065332028459,1.89000577296216,6.481074218142544,6.189968755263048,3.702692640586856,1.37760606458796,3.029808500926246,2.825638814193663,3.977101007832756,1.559320911568553,7.79354756768621,2.272249386143618,3.543856235781838,1.215243283047517,5.548544738289957,1.823670784822353,1.678526210839458,3.651722555327032,4.658836343575556,7.64613030814583,6.270264946544827,2.969454052629386,7.938877258567357,1.711226404891292,7.076837834555244,7.210454248224662,4.431413555042527,0.4268798576380061,0.9200105276746905,5.123904794655309,0.4838924617945337,7.313628413521645,6.69624784999909,5.725733092130824,1.907019071348216,6.259960651235311,0.1124360848883576,3.785123611567867,0.9630031925437972,3.212112024736874,7.977730905106108,0.2839902671767893,4.342489876825725,3.23021573284481,3.203024536124019,1.893347106694301,6.482734699397674,1.040838995837529,4.070409577150989,1.524375810580507,2.284841187740962,2.878693476543728,1.238525639397315,1.579853191086856,0.5298533406476659,2.762850739374624,6.337526100588435,6.983035557428769,6.98949817233023,0.08995070713560666,2.610238625811158,4.758607797182538
(5,),6.632391315209033,7.564559900829229,2.201866653530511,7.309902965663539,1.625010276487452,4.679205387422147,6.866680986522129,5.602512163026999,6.773007780705128,5.278422724024234,6.184637817162324,1.718811954435429,4.205518453637366,4.430239171307651,0.09989229673992567,1.455490465876298,0.1457980330847294,2.369635320963039,3.136631274736576,4.233187654517319,2.80177882508224,3.052320716347445,4.409561195583916,1.029405082398879,3.893156230334847,4.409196022884058,6.406494865915498,7.605409455813558,1.050059761564101,2.393471659470809,4.276073305909483,1.122623650988815,7.561206976040193,3.628255110184273,2.877355933934477,0.8622038311260573,6.553798259160149,1.633806134448419,7.212801951778048,4.80570729823566,5.06980672650696,1.713891469114173,5.102531804831389,2.645428211968053,7.07592418477064,7.145723830317514,5.085334787098932,4.753981176460185,1.617732014301087,5.277274080077989,5.153598681851039,2.015151705522997,7.774848146527085,7.184955220498981,2.924341501395826,4.519374055260904,1.033092692309637,2.654528249609472,1.180276232154381,2.596212917900533,6.501250102491184,4.218348044122851,5.764425495899107,3.710726962380696,3.857346364791606,3.519760941499333,5.814697580157537,7.068888440646518,3.542694527961314,7.802862776156798
(6,),7.887929121573505,6.029856955728878,3.185578039724978,3.576489750249388,4.943134349083009,7.903172779198353,1.724037034034194,3.521823272140778,3.260488812546249,1.573814997166252,2.156638324332089,4.715447165922274,6.334455788985873,1.489693442316331,5.799072615034383,3.999790985276564,7.045323255172775,4.38277487476314,1.630306943079346,7.809022239013188,0.4333749224229559,5.533116897600508,6.539420853872667,0.5980170143813944,1.599296540190481,3.674376215913795,7.072754444056013,0.1517150627772935,2.871848104482496,7.443421094227198,5.790599412544581,6.442094156033961,2.180623204088156,3.496912813567843,2.231808707748735,7.147387745920645,2.862231981562039,6.475758705157766,3.109108051995228,3.66145612118544,4.959941674377052,4.732251333651403,7.837869189225248,4.970082787682262,5.514805593071856,0.08543968884163372,3.318507657533267,1.488057969458916,1.855424460350982,4.271246000407568,3.040311700565287,2.759877926206585,3.744996815310827,7.172641904941619,1.538320771168635,7.08763838427616,7.541583335800434,7.901555451786046,0.3156077728546399,6.223145377260172,4.349360386534797,4.819111294649018,5.267651101428291,4.21524298419449,7.915118022526753,7.397316987429794,0.5789506268243626,4.403491921126266,5.505530428374967,2.0891783366325
(7,),5.17456839843883,6.623633934290498,1.726042869335902,7.722532283029254,2.251350151596718,3.703268314441459,7.24790990036777,2.212475309056249,5.713932855528722,6.652113225931315,3.988211020061122,4.373750022816417,3.933651433196672,5.489985992840058,3.103921782643197,1.639367860119601,1.62367489102532,1.653246424965558,0.6141119661917737,0.6192232518694499,3.472323318425282,5.746043907292974,3.700585468197547,4.421618728810855,3.496707742297442,0.2929350417760727,5.339456509288866,7.401841111549329,5.332286510816187,6.140061213583173,7.812081115379607,5.580793309074125,4.806309308406887,5.728512658348822,7.153676632134279,7.637630633747123,3.432887236352701,7.949164610169382,4.265724164242246,4.328309930917775,2.283496082594836,4.653265805118416,6.207154619886732,6.784932621646604,7.825008592178791,7.496235903577761,2.0692633333916,2.75558119479205,6.76577126527941,2.06056488336464,1.29335609132514,4.846015087321638,1.969341294731681,1.975042025726724,1.86937731392043,4.477794307289995,5.428456777922083,0.7079854124227176,6.369271451802388,6.46767652517117,0.3595077686631346,7.037155354318604,5.353647312050513,0.4145466681072695,3.442603981099242,0.4029596622248425,0.6294691291187242,3.917799679414846,7.483677684702188,0.1704232477256376
(8,),3.942370895944007,7.502779473249771,0.5354447312674173,4.718953665132958,1.778961022727439,3.997072563202212,7.907972333041931,4.005477339294086,1.130541643013631,2.933070280754569,4.185971518114969,1.736437190537756,0.7403944707565289,6.460406822454867,6.249777243772764,0.1016769806236859,5.656950371242844,5.93625262936131,6.629187753429632,3.146833366863176,3.052424522044135,0.4731543556254495,4.749162963876105,3.693453844723007,5.41157648431868,1.631285056183577,2.612738921323966,3.005370811686963,1.313980301523198,1.213348831405957,7.536574665399374,4.462184650798274,1.419245381461571,0.3951789061296747,7.148979320183175,6.407009916638672,2.710306660257672,7.50194989357402,7.784864200264912,2.355061601232304,1.16328050921166,1.381131845421248,3.704997106113592,4.308967524060505,0.4328069940184124,0.02564419716393053,1.632956253364631,6.702896495637292,7.72074596875721,0.2288331501820806,3.545844203443902,0.3058776058567781,0.1244236410591578,5.707734095534975,6.101140601646295,2.046860720932068,5.148794877159212,2.061202484201611,3.20024572454438,5.925744775347371,3.981860143720351,0.5136394823666482,7.540264921846078,1.255880512423299,3.9909452750988,3.888541919369118,7.207411661557509,3.896831402058451,4.146778741294717,2.382561065473902
(9,),1.827330827109947,0.4890566492391199,0.4833435662573884,0.6427290864716239,5.566474256291145,0.9934689423763062,0.6087837463345172,1.599292760990835,6.357243309281222,0.15999915766256,7.766280885284927,7.194482285637283,1.740892418304816,5.839976848809515,3.175098090197576,5.172407680612467,2.528490899511507,7.472147241092642,2.559097499307979,7.367540209421041,2.557931509269503,6.606286851289529,6.643603868097316,4.991999258556309,3.056643089708184,2.3694932161703,3.847481963266769,6.142248396798307,0.9914477206321248,2.064971645809107,2.629079733327043,0.8254380264899969,6.565768191121524,0.002339432287271584,6.913807780884375,7.876121572089414,3.232349731469397,4.096432988160708,4.969892387255421,6.859168192838485,7.077345508137643,5.695627323596012,5.721330723886505,5.81174775117308,6.527590144349383,1.47605009710875,2.71396566878958,1.806606185598208,0.29005334802956,4.164050986664007,6.825700636609891,5.946396906572862,2.383468501466307,1.343448097549603,7.524465376375823,1.790719630635847,3.545159747907431,6.621573922945262,2.408599890853184,4.029401374102375,4.894147807958493,3.683547250382307,2.69179177360089,6.095676063248854,0.7463719217248178,1.403825370769741,0.4387424996195874,4.120481010571699,3.253434165696791,3.779592969169716
(10,),3.822776462705545,3.667469669119022,3.524991203889187,6.279725277378684,2.256187257651516,2.680803632967067,3.471481599583315,7.341278875540347,1.143399630858801,7.008681873877443,2.209150955238026,4.57362213042014,6.035857637261646,2.279958352708397,6.174976516515003,2.699663007104324,5.93534279379845,4.58605990863246,6.008088057923472,7.447440840296248,3.365353610710701,3.483487070040262,5.878634336484795,3.864801638539073,4.697647708846564,5.610635215929421,4.383248477501235,2.539081833889656,4.616356696028285,4.080020066876838,3.204090544811027,0.3314879058181073,4.413808008971586,0.616005247126947,1.500414522564629,4.295299668962526,3.726798948653427,4.112140520786652,6.639149977846924,2.047036759405032,4.147730375546138,3.595211457372517,4.292197468681394,3.974154128008682,1.859597471276735,5.049837890891124,3.278010867776672,2.997700399351181,0.08398184842732119,3.876311536961929,1.410274160640942,2.649556859060971,7.707767825708765,2.98471942043266,6.226693643002243,4.49518566166157,0.1658559681633119,2.838189730902325,5.370458539315302,0.3841430368670156,6.595158330583697,5.882749243418774,7.502001410013396,5.776580058904456,4.337729841078886,0.5833719177981589,7.591166677763518,1.937497354420636,3.264008779173666,2.306354866962669
