index,1,2,3,4,5,6,7,8,9,10
(1,),-0.05188196842155351,0.2787453747739161,-0.373123687796445,-0.523937578228132,0.1535470955948141,0.334708905296496,0.5852441536450621,0.1855225346575784,-0.9107566897962976,-0.06643817965367363
(2,),0.3101298709057813,0.1240064402329715,-0.6231511393818703,0.6969942562348368,0.06433197218745268,0.1824690187982696,-0.3334231811325646,-0.08881278829662949,-0.001811750680555224,0.5029289775645984
(3,),0.117820980331531,0.3987319152903034,0.8975790078602355,0.2470680826238401,-0.1680090794361555,0.3781859690039737,0.04259762268899692,0.7157068453667597,-0.117198819326078,-0.3550896106726407
(4,),-0.1507063917268636,0.5600989262768384,-0.334260204053876,0.1771594817629881,-0.6043402537669351,-0.1829626783918488,0.3539274929889188,0.188339314893595,0.1831107669015278,-0.04211588079563089
(5,),-0.315715643605982,0.6218436925317544,-0.8231391878514248,-0.3610788302394313,0.1027525380797411,-0.399228426242865,0.3075411643316645,0.5786056819063622,-0.1797606840194396,0.3666190387526924
(6,),0.1431076111386659,0.04907468159201783,-0.7477325920339756,-0.00210140520738622,0.02052827491306275,0.4605534795144798,-0.0804963415129531,-0.8204303682771371,-0.1924115323973213,-0.4532504696783896
(7,),-0.6759533958927658,-0.2503337013904284,-0.1282360009854858,-0.4173240284361726,-0.2591502721957485,-0.3441440040696765,-0.7601052626994198,-0.0925245420056987,0.308163844193572,-0.4929794543346241
(8,),0.6901136479596666,0.3311690499880109,0.3359477053598539,0.2288281302142383,-0.1884704703021322,0.1355240986048622,0.4518856451454429,0.2461461344793027,0.1175384498024077,-0.2084424828282638
(9,),0.3296299626057143,0.2140669865044939,0.3057591854877325,0.1472994973750025,0.03848301352934425,0.06487334801127664,0.24939121928514,0.114826004098492,-0.1773794091984553,-0.5440346690789669
(10,),-0.2986117173767545,0.7337916217989725,0.2502956115696715,0.09077877933839701,0.4646437585008268,0.2370913367376994,-0.1771388629568769,-0.159225770067918,-0.4653882340792044,-0.2567070448440163
(11,),-0.2989875540363172,-0.01836824573636964,0.06035092491014438,0.299490242339245,-0.3702817344297976,-0.06011559691168962,-0.4998144557081289,0.269390039316735,0.1005991036426022,-0.3553497391568902
(12,),0.1501070435095295,0.748813912249844,0.03246768087788501,0.3706242608689581,-0.3487021163627559,-0.1235251126815704,0.005620851220546674,0.3598139598954589,-0.3858756805265277,-0.2879182077526511
(13,),-0.3505933506306276,-0.6659602962921974,-0.01614463978566028,0.1722197599077632,0.2535667015138624,0.5218123980526849,0.5932372441117283,0.7355129874336008,0.09564477693853224,-0.6866540313133809
(14,),0.08417863972573314,-0.2261975455979015,0.2075352825778292,-0.6765752716529826,-0.6469346438198921,0.1518906253601822,0.1106045822959102,0.08591537827452977,-0.4054340548713852,-0.6354930532045102
(15,),-0.2743554636824569,-0.8264076948411231,0.4507437304747677,0.2384707404944137,0.3414855253336206,-0.3074329359015092,-0.3440050999195248,-0.3710284553635442,0.4952744323090443,-0.6633205038508043
(16,),-0.1866887102321491,-0.1448701116543279,-0.02748731859653625,0.105180623588958,-0.1585662237388301,-0.2879044976796241,-0.2508057482489321,-0.3989160644629786,0.5705662017993134,-0.2813769039938298
(17,),0.2308857394191257,0.07047432043402002,0.1081066768765326,-0.2451873775344099,0.1932747653173476,-0.5144262310449488,-0.1438389040270526,-0.4671440213965012,-0.4120385992930372,-0.2287941129413226
(18,),0.09205787523061887,0.262894134282572,0.4186441915835997,0.123162219073631,-0.9180830349633782,-0.04176570938331747,-0.6191537838448956,0.2044684852051548,-0.1260615921207973,0.3011930933521817
(19,),-0.5232611533111976,0.6112915011503228,0.0191605499719931,-0.03495374295551501,-0.4723436119548515,-0.3294202981240066,-0.4151763284497428,-0.06300974890864575,-0.2647943336204496,0.4280500896945088
(20,),0.5240895440403921,0.3754783586890581,0.02171464953044545,0.007993179120955887,0.09424704418038324,0.2394747688633777,0.3752139211860817,-0.04255414545795966,-0.2871563458697595,0.4146999999988007
(21,),0.01519563167678284,0.5018935279983792,0.1612834195081896,0.2689411539509146,-0.4909061748839738,-0.04751886350515688,-0.0967116587212756,0.4264412225025935,-0.6075119229396073,0.5582596321293829
(22,),0.123545653222213,0.2018612818094148,-0.2209261030390636,-0.6596869134122043,-0.02971955353226996,0.5798360924974468,0.6029920169332634,0.8480674786586533,-0.1657730116902388,0.1839640024517571
(23,),0.3449071344045094,0.4662351747835189,0.09486635241869357,-0.1165710581118903,-0.1491170574178884,0.4832071585661352,-0.1780115661217212,0.04431123067962417,-0.09469429088678188,-0.1424206483467209
(24,),-0.3784170819711207,0.3285277613050225,-0.9152285119056021,-0.6769491150645146,-0.4566275518897496,0.3665499441252198,0.2369098589749325,-0.7760717692645813,-0.1323300290762044,0.1429108914943711
(25,),-0.04306893270629247,0.7623007061576117,0.2812909969519908,0.2410160370609454,0.4233932030666281,-0.7541147602901845,0.1868606292015774,0.3053359445867624,-0.06328637268710786,-0.3053493152672212
(26,),-0.1373347670018472,-0.693614317819727,-0.1374533975572387,-0.5843239098784974,0.7456207813810647,-0.02605647367466629,0.02657160261946656,0.5466046294355155,0.3679001485429072,-0.431396180263823
(27,),0.6030330316264552,-0.03726926366465311,-0.05857261275850004,-0.04965858464499462,0.442661246453385,0.3636230139343391,-0.5933944768106262,-0.1799876516050484,-0.1630771946141478,-0.8359930689032373
(28,),0.2064814956047653,0.5145172673640354,0.4120856270574038,0.03671323376572599,-0.8343594207088728,0.6919614051683884,-0.02498491496536914,0.5343188063858455,0.5723012398703557,0.7557846342446146
(29,),0.118957146121822,-0.03656937990056385,0.7547990288349198,-0.5553519050299704,-0.0177699081720305,0.1629897449919078,-0.4888011491253937,-0.663071197688317,-0.4296463013833182,-0.1751738467669031
(30,),-0.8851474511953529,0.5258332803334993,0.5387993301260587,-0.3048564579612997,0.1109873960936619,-0.1886515208963504,0.3318693817471459,-0.401384557052143,-0.6402378624018139,-0.2415739492271931
(31,),-0.6557604525917398,0.6714398291976982,-0.8353586272538593,-0.07682802184387336,0.1815192556928799,-0.3564476549491281,0.2135656797499254,0.437087346675913,-0.04289560140564275,0.2639482417370135
(32,),-0.2171976892379086,-0.04528782919452679,-0.3629113152456648,0.3892623982212298,-0.5254126165164021,-0.3889100209999439,0.61130816235669,-0.4061523495939903,-0.4074827979045355,-0.4677897705528887
(33,),0.802876361481528,-0.001123850030252505,-0.3128858648278696,0.1606961656861745,0.1591189464931753,-0.6921017757508617,-0.06591543055866034,0.1298363217333129,-0.7325234246234268,0.0101941504656522
(34,),0.3202246432696596,-0.2185441472245622,-0.3849792623878559,-0.2995622283636152,-0.5147687021003979,0.1297649008216751,0.5767422646685384,0.5761887539402506,0.4113860690652703,-0.8065749782807117
(35,),-0.02335307090277383,-0.5899160671817041,-0.4060663804734388,0.3455124540470635,0.4224355390109186,-0.3520092651760192,0.5425457496592349,0.6451938241551746,-0.1681521558537049,0.5367433466097364
(36,),0.5002130251089346,-0.09927063034472644,-0.5155565825258728,-0.2147364290022586,-0.557630139022813,-0.452852115276605,0.6286870713393946,0.1544967449018698,-0.5577392942872013,0.02840059803592637
(37,),-0.8050567801577106,-0.8746549824923028,0.3669191856490327,0.7285572831904206,0.3129336004474957,0.0367325230021448,0.6131840713098398,-0.2750917201290038,0.2106592809297011,-0.2843443550196505
(38,),0.3285780525965655,-0.4870194336478094,0.1060967311952856,-0.05839202137633626,-0.04286203300904334,0.02034319305539131,-0.1780705949373674,0.1191735176939744,-0.3577950871363039,0.6077445076252155
(39,),0.211018057824116,0.2498344456394056,0.6630467322739816,-0.622864795308064,0.2138873031652812,-0.4450086307295479,0.02159778599650028,0.3911727701429916,-0.0522002013411349,-0.7548443445335214
(40,),-0.361758449048613,-0.2460936461036269,-0.06547241193507802,-0.2788579563794599,-0.2767454786548104,0.7187574952499562,-0.7898825515669304,-0.2257304479831531,-0.6249997320932569,0.3343686021465433
(41,),0.4890445855570484,0.5203429004978943,-0.4630421910104482,-0.6170753582315024,-0.03582851618388982,0.6926643404599224,-0.1158112631910593,0.3226018816970094,0.06166784992444718,-0.7064944233303607
(42,),-0.01597004229716337,0.3126566128663496,-0.5095280157795741,-0.6783644198737198,0.02051637833225985,0.002804335167120114,0.01273317204911961,-0.03012469694353098,-0.420147023967497,-0.7570496502504935
(43,),0.09010583408806638,0.1789046379942575,0.2997599638058541,0.1482938136146117,-0.4918536886737851,0.5201184635411482,-0.1353660435190555,-0.1558879265959947,0.5035605936114234,0.4232818489363611
(44,),0.4096814500080447,0.1325677310943536,-0.6735759260245356,-0.1435983063912797,0.4524476176559937,-0.7551612984836488,0.1409293206733114,0.1182808464119378,0.1921778856333383,-0.1052270512558981
(45,),-0.4484169767041142,-0.1592061139564332,-0.279258708140804,0.1257660761115072,-0.2606804513346065,0.01671490420096494,-0.4791951096692358,-0.5066357415072306,0.1142300093264434,-0.2966408047442791
(46,),0.2456099930197198,-0.2852292779386907,0.5261157461739917,0.05045982275195121,0.2044590860399903,-0.2267926332950513,-0.8242870452808229,-0.4338032405449735,-0.4654440943257785,0.3943565591459142
(47,),0.0317325694563344,0.07594217006306841,-0.2836990465839387,0.4365860715013685,0.4648168241430882,0.7944667437075088,0.1437845136128537,0.2658411947911404,-0.3601138654741638,-0.07099245105258958
(48,),0.3241017656332255,0.0162166423038857,0.4193471002567251,-0.1799898441555924,-0.5709283017319504,-0.05425261616787691,0.006317062555271757,-0.1341541336646498,-0.3229038743173932,0.578189475502181
(49,),-0.1805351592612312,-0.3237469361647638,-0.2221511219216694,-0.0562822423836466,0.05755337878325351,0.500874678359609,-0.211155682754438,0.4343920053693555,-0.1047477597580277,-0.4626931157287072
(50,),-0.2013037966573775,-0.09214357621783842,-0.3855413420891078,0.1990107522102861,-0.2256614709726099,0.3227353023848438,0.2277979916756608,0.03361216705065739,-0.7128231435152327,-0.05778116722797644
(51,),-0.3100587595107061,0.5064938586128722,0.6740105535326901,-0.6017502149299526,-0.3957412010677038,0.2466933657814567,-0.4489523978082412,0.8601627328067707,0.1827717132737402,0.4434148689411068
(52,),0.7070609473746534,0.1933713511506993,-0.643370568058328,-0.6968397798311441,-0.4292753713280265,0.6100070463164499,-0.4201114146193455,-0.07400539372352155,-0.7123000612620504,-0.4403522130470102
(53,),-0.1510673177029781,-0.1409223423826419,-0.163889734637072,0.05467315161459108,-0.08329526776027474,-0.5209767454632117,-0.783591104911223,-0.2410130820410286,0.4765629541960372,-0.7382336096040882
(54,),0.04960192726309931,-0.3602558579022533,-0.215861834091168,0.07219339307679329,-0.5376218552280301,0.5052415491655144,-0.1762483421042501,-0.2119015455411375,-0.2823804840851473,0.05062100199196573
