index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
(1,),31.3683311151171,0.7661225783935774,0.7774728557798694,0.03843170399851865,0.6913300040295418,0.5377101412151392,0.7639562443546647,0.2395103466467389,0.8125411735198751,0.5224802539099975,0.1607256597251956,0.7675252650755267,0.3937757883905769,0.9977062450020572,0.3498643444445549,0.848863922404887,0.3199050585864194,0.3457224450783124,0.2852278169785388,0.1141269607868325,0.9576185099626445,0.6748238471617538,0.5008243218570304,0.02105857504970609,0.2843676273033455,0.0267820780353288,0.6192106230641735,0.09241542286927865,0.4253541424954715,0.5533184515943294,0.6532646331241955,0.85775735721176,0.6758467255941832,0.6359882378932111,0.7179056950219378,0.1324074147991295,0.3998370546601259,0.3523673262390944,0.422797873757374,0.9152895430085547,0.6759569241184055,0.1485076334767529,0.9614745953118348,0.5761562404507684,0.3868591429184366,0.6393502704726629,0.9277501689793136,0.6882729193484969,0.08374367363419274,0.7629316035069755,0.6659149876752102,0.8780651713815499,0.178132381362944,0.2292131177096235,0.5066982888839396,0.7829530167142646,0.4138323410834047,0.9661694621458096,0.9795911135853055,0.254523793333769
(2,),0.1541975263239111,31.19346837416535,0.5825538805040326,0.9411618000536395,0.7665628930814637,0.2287169960268573,0.2315434847344534,0.991590053414965,0.2923533862543519,0.2391174782601968,0.8953763692608959,0.2057999008279821,0.4726963847137359,0.8579750723877925,0.5637974331533803,0.8766163481267026,0.08995396669439594,0.2803234861352983,0.4349803412868705,0.03638670858107163,0.6497833611557893,0.6505742096468323,0.8133801694893404,0.7220528633900195,0.02586026724121788,0.02751104077285961,0.2683395163749748,0.8762565371246264,0.9437665757636503,0.006990608398866135,0.9904934431929607,0.9028576466798007,0.4299085433200274,0.7748161667509338,0.498057607161126,0.5008601290863106,0.09804946337308783,0.273877788423237,0.2059357066830308,0.2820305758131317,0.403689343254047,0.3472967921768093,0.3686166394860958,0.2085773389504626,0.4264655056315203,0.8019015934103705,0.1137391597135538,0.5103940849794387,0.04662824786582147,0.4548534064429219,0.5917582701649982,0.8385021985586008,0.9930299537397522,0.80593491489962,0.3354984905672447,0.6479648590150126,0.7681375846930547,0.609555078981808,0.7083697582485405,0.2863894870957757
(3,),0.3700079756331603,0.04678815650802712,31.61037014744418,0.8306768777795245,0.001461828996146442,0.6978013134126226,0.9367583766204407,0.9697845988435799,0.6040750600079499,0.05757474552998895,0.7300223858747287,0.1520053382026065,0.6282224264013164,0.9389469658203031,0.8157123057193809,0.3078091669016438,0.6969524350939514,0.2244241940615374,0.07797089114636403,0.3352710640697828,0.3012667367289504,0.8487751667815436,0.2835452355208316,0.4411934479871322,0.2696192689225759,0.8130135800526678,0.2836054999658787,0.2807703650844997,0.1705626716046763,0.8863163179109788,0.6018576158000819,0.1129282471305212,0.6590838214335759,0.980762535055527,0.9836582227452871,0.2064180781730441,0.6210988873798503,0.01288860716598157,0.7901822878537734,0.4751327573823562,0.4633106284531895,0.5304431721209713,0.6739570698485321,0.8841818623342951,0.5322210140945867,0.6129355797113955,0.5318983823604039,0.09355581733330107,0.2722296093730222,0.6259865921347063,0.361759894461706,0.6649163675328964,0.8042050243662369,0.4012317557164989,0.2682999070614236,0.5369578695700161,0.2953645216144384,0.9865072317109278,0.2676058949563408,0.9891449381024365
(4,),0.3682014236239127,0.7255847333551683,0.02791449839237525,31.46122581496126,0.9470241161504573,0.3716004038727876,0.3335386157368939,0.009116841700330874,0.5522529353242199,0.7763031157163434,0.01495441536454882,0.7879465196060474,0.8825375866106616,0.9887711022841931,0.6477753438444024,0.9634391608915936,0.8802836275935725,0.7826372886926403,0.5353473784765446,0.4110897080381224,0.1553075264766223,0.7353128493792594,0.2538514889939835,0.3581769146052777,0.9060576620496292,0.8618310591593903,0.06578938939503315,0.6291434195014998,0.02211551885663292,0.4355546732628177,0.5018349341248585,0.2069976884379394,0.3555238267782906,0.8428283878538189,0.02369624247770715,0.5960999272478069,0.9780631467208981,0.2857914113090539,0.8239850044550977,0.4216528164753032,0.1979464258476933,0.5401611923650259,0.6627448724387904,0.3229703774030537,0.9664078738197007,0.388949428117067,0.5195102986400245,0.6561859507567791,0.4231243718637269,0.001357812960612719,0.5272476247656098,0.2250666073774998,0.7438150967046633,0.684025350454289,0.5762388936235829,0.7706080052381257,0.4312640663662903,0.9793328013503095,0.6467227079881325,0.7216133540445566
(5,),0.7033633293024115,0.843024943182373,0.5178331341896198,0.3033595340163945,28.06152045929468,0.2358304578839998,0.1176950182523802,0.5578239211632222,0.4175103873932414,0.258257343024246,0.5618253609381834,0.7747398676855538,0.02720063826564429,0.6592123480959765,0.8239473548157544,0.1064491953844376,0.340554312430415,0.5683974888424639,0.3702691405201477,0.3942497380320132,0.7703626249207698,0.3909100132499139,0.811701502086776,0.9418708998278086,0.1324610695379128,0.4587341123100968,0.7380810926990394,0.8503783100633688,0.2795785347531937,0.005392811527414863,0.2115466681447633,0.9651123107188432,0.4406948030848541,0.1463626098817952,0.8004758676883765,0.1145649954902223,0.4116937286054925,0.08338245999007027,0.5382472720668069,0.0006442449134513464,0.4783470227152463,0.5335629310985558,0.3532026736661324,0.7333059423458227,0.5906640329346965,0.4242796023311288,0.95864789814299,0.2742217575893857,0.2592125888667933,0.9894152340706323,0.7939682425586219,0.588669173523842,0.552007295011768,0.08322049215337565,0.03847270834721896,0.3406678992132658,0.7604973260337979,0.5778480332238392,0.737116362774258,0.3104537977138592
(6,),0.1311668187594296,0.4564661707207691,0.0762676757142963,0.1537711176240156,0.13922500597792,31.72920132514834,0.1383410897169049,0.8127459188755304,0.5769180234912997,0.5649270847974411,0.4989866191884808,0.8274515354744543,0.4056692113638528,0.4652207044623431,0.7133649829244179,0.471559648894784,0.9380293529929626,0.5722804670140784,0.442403415699008,0.0878102365548224,0.348063736863705,0.01406753077293014,0.1471284510319031,0.01400768060783759,0.6052378818184769,0.5595089751282075,0.08539630220804084,0.03703485807779647,0.8924614638600226,0.2350669328869264,0.2283331429861951,0.5280548209427535,0.359195140249481,0.9491096128352381,0.1011548143871548,0.7015122173956779,0.7161560276736515,0.9386410672192368,0.1924070370510751,0.1042622892764198,0.7358472571422473,0.0127083341136026,0.03468028918365854,0.5577014369534431,0.4454802444077706,0.5298210992434622,0.3890794498296539,0.8160376255081482,0.967625692679713,0.1710899728672901,0.1612844193903304,0.5458420333314533,0.06619024387958336,0.7061977166904617,0.793738381419808,0.201035688375787,0.3195071433608272,0.6214208215531398,0.5110815659924315,0.05779146340885253
(7,),0.1931487536787834,0.0735846052877205,0.2558943271304784,0.9282516394768855,0.965866754965012,0.3098872270258253,30.63426240285184,0.2018141524063067,0.2503991561366162,0.5411869711588356,0.02842540722488209,0.875508934858572,0.5641260322335693,0.5078296794243823,0.1466003228567112,0.2254979159044326,0.9564093095267965,0.4564065694366355,0.936924802702607,0.4393245600057563,0.4953693961877303,0.5275654426669937,0.4261945434492422,0.8841611198880258,0.9288619347770612,0.0448330135781884,0.2223740308595471,0.6681039272735696,0.03557384743145424,0.8928324156243658,0.4842829873341106,0.7474172482431494,0.2961225508479671,0.8220815662477203,0.5772457423456888,0.9124729745245967,0.7084473740403772,0.2609962505037909,0.9303583667548181,0.16343775620715,0.4417076912637482,0.0327226254691907,0.7455289158817443,0.3114517913716197,0.7176687518924698,0.2424285790577212,0.941097037113089,0.4988110850385891,0.2489724820002173,0.4150894034431065,0.9432521774180056,0.3088238623735959,0.6926164907741488,0.9373684383309008,0.9767387761131677,0.08805310040372231,0.6052104265432762,0.8506016205746215,0.6931028008433768,0.04719673671917074
(8,),0.7077335623851286,0.3311404648598079,0.8608950067466694,0.7812302591038011,0.7002512247175724,0.4484874561620668,0.9172238718534044,30.68656515880687,0.9818194434824403,0.9387812803503549,0.9018257504345721,0.02436338778575742,0.07337095981583007,0.7543214946603033,0.9234403717471629,0.04173744845637194,0.3354425848086029,0.8022732529017049,0.05613977707557691,0.7551625948037543,0.06092170540334454,0.7142228272024665,0.9692731783794715,0.3763135674834965,0.9673509522232989,0.2383576795410524,0.2444320958596805,0.276026456820384,0.1461264827680135,0.9589046033130602,0.3107098526656951,0.02749156388174084,0.5761636929411771,0.3927047267535285,0.4940635467263149,0.6880741185028254,0.7675065581607303,0.3033722072862161,0.9100931182479707,0.8395027614835224,0.05300570008237188,0.06568538972110258,0.7624403116890925,0.02743619175592267,0.2487980804924244,0.3688354339765934,0.8060521740982176,0.4135762582106612,0.6949686493669551,0.0421504956096565,0.5766640423563684,0.6806146814998534,0.82734562977232,0.846481120135799,0.1428515727740738,0.1345175709774232,0.6903854640581386,0.4834742420819276,0.6136903506114588,0.6003399117416331
(9,),0.536581089890711,0.6590711067469923,0.9585269509136849,0.05668392727681631,0.04874204139923245,0.228058723764161,0.784344833936953,0.2513541116833873,31.31001766286251,0.6821855655824602,0.6236051441564013,0.7483999537836674,0.8087350127578646,0.866573700996262,0.1776975698462264,0.07073147686060678,0.0704149712639594,0.9257793194519398,0.1258834804793774,0.7409380523270269,0.02791817978543801,0.9588767173965856,0.6175637595254688,0.03855647838351696,0.8899315921190257,0.9398776313174025,0.8691491730523001,0.4832970254057063,0.2558262507822884,0.3736007183712305,0.7160650147552039,0.940538351804956,0.07564002644629739,0.2006762264689356,0.718625441041191,0.3968008226161086,0.397247391844145,0.9282998264940852,0.312765405047005,0.956913967362019,0.6487045714851503,0.8399372964724398,0.94881376709054,0.7162332798408495,0.5655997885056493,0.6634250743349448,0.1941674067779625,0.07811456377631819,0.4222361038228614,0.7176780752347434,0.4862098033812144,0.003081404846634437,0.9534770217334576,0.0119001497364733,0.6758355601219842,0.1548587177936104,0.54931550165236,0.8701970129103193,0.7627378121591785,0.1662328228457859
(10,),0.3839284115237601,0.1019723174413792,0.373009636707074,0.4013994627375041,0.9409194091389397,0.1234814952418346,0.4868488731743109,0.4228091173147167,0.3251318651043218,31.58582402994498,0.1834107346891596,0.6651319689598182,0.9901491523755839,0.1523207469934635,0.8614322258083894,0.7782576763735247,0.5688058438901679,0.6875256462758458,0.5256131678397509,0.7311528632964759,0.002146272650800572,0.3558644814717788,0.822679785282888,0.1174012387694241,0.05003078225651365,0.8305712611490033,0.8720254536983972,0.8089913095378536,0.7980760926107887,0.6701607545017609,0.331348972803844,0.5454481168543925,0.4840210951559047,0.8629296789351727,0.2784899182550258,0.05515996163065332,0.875457537152863,0.0627257110499583,0.5172107617923298,0.2174000730217581,0.6027516498404564,0.6943501182553871,0.9535296297333008,0.6772493577619779,0.9057068332482652,0.9201297696255669,0.9017370825752143,0.1533728295462803,0.8012152619048133,0.01909506515560269,0.6556737032502807,0.03911820436260813,0.2873027072331739,0.9943973858416827,0.8879067231209611,0.2684002218016542,0.1455332413860193,0.9182585540348364,0.5241423044395618,0.9645135133602134
