index,1,2,3,4,5,6,7,8,9,10
(1,),0.07757015285518538,-0.003104289907160722,0.002419523191573999,-0.0007334890168018159,0.007421252314958851,-0.004812477123363418,0.002854878159650562,0.01157204002799451,0.00272183793818523,0.001890470241707365
(2,),-0.003104289907160722,0.0795746223223092,0.002804518849762723,0.0009254566473258449,0.0006915262904161628,0.001387753009656233,-0.001254024727673914,-0.002261628736601697,0.004308886430101888,0.007061699583208795
(3,),0.002419523191573999,0.002804518849762723,0.06742942276034737,0.002572550781863195,-0.006255876927959991,0.0006989382120392125,-0.001705697791805704,0.004386228418897504,0.003890138044330512,-0.001009417805990197
(4,),-0.0007334890168018159,0.0009254566473258449,0.002572550781863195,0.07291769888077801,0.003358768221218195,0.001674215504359003,-0.002562195231524452,-0.006665232257398236,-0.002872474507461997,-0.004081034908293917
(5,),0.007421252314958851,0.0006915262904161628,-0.006255876927959991,0.003358768221218195,0.08457072019045812,-0.003932204366642096,-0.006666038000260903,0.001721545142071667,0.0006149816716722143,0.003019555890935052
(6,),-0.004812477123363418,0.001387753009656233,0.0006989382120392125,0.001674215504359003,-0.003932204366642096,0.07843509986633258,0.005553981196569044,-0.006018817916611924,-0.001162542356252275,0.0006729748042303982
(7,),0.002854878159650562,-0.001254024727673914,-0.001705697791805704,-0.002562195231524452,-0.006666038000260903,0.005553981196569044,0.08563066604282188,-0.002118480317596919,-0.001660695467279564,0.005478735921465864
(8,),0.01157204002799451,-0.002261628736601697,0.004386228418897504,-0.006665232257398236,0.001721545142071667,-0.006018817916611924,-0.002118480317596919,0.08454868270089007,-0.004120215883105766,-0.001497439034847874
(9,),0.00272183793818523,0.004308886430101888,0.003890138044330512,-0.002872474507461997,0.0006149816716722143,-0.001162542356252275,-0.001660695467279564,-0.004120215883105766,0.07455756323722111,-0.000270086908147245
(10,),0.001890470241707365,0.007061699583208795,-0.001009417805990197,-0.004081034908293917,0.003019555890935052,0.0006729748042303982,0.005478735921465864,-0.001497439034847874,-0.000270086908147245,0.07403761015176008
