index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
(1,),2.930609467422402,4.172731226753712,4.58922821445223,7.04500397579285,0.07769662853170227,5.040045679389503,0.5745989359250702,6.729394793972422,7.584500555619593,7.414134991342683,5.911354972127266,4.452065140890793,0.7757642182412244,0.4563438292260359,6.422879103862469,4.908997141338961,1.628475058857495,7.950962296395935,4.311100767293232,1.504750895924913,0.4400566380123328,5.275428721133616,5.963841644422323,6.886596012371043,4.721980542553541,4.544354600647318,1.56241549181117,2.052830403987282,4.712670122076609,1.704163410107316,1.099680528194037,1.832218076977828,0.4460321725173442,2.557249567479804,0.2714881776183694,6.106836088169465,4.195401671749042,7.808309756815368,0.5167715350019301,5.412658214186752,2.214926069155811,7.647671413509135,2.971170719756325,6.903533965531776,6.184720240835018,6.786307182972104,5.846934080751873,3.257642433730616,4.19277380701484,3.679105092352311
(2,),0.4655995488812275,4.548877605340593,7.62933993323209,7.508556388273691,2.579068089459221,6.884888138337887,6.21390916288139,5.618945517498356,3.485896396494745,5.918537009762296,0.01992196525855472,0.9792788815093567,2.834198271904637,3.983598505225801,2.249201436753201,1.923680705053574,3.685001847781815,2.472129619861835,3.598303108332098,2.158893415851451,5.404694619443744,7.386870600505455,6.101488626555432,3.225097707949781,3.175429838330775,2.674693633006091,5.896355817196739,0.06080280458736208,5.05437886378553,1.841684497624616,3.341350897586826,4.620690179642647,3.815277167152539,6.957855794771873,4.217310152346812,7.000374627264287,7.43746988906092,5.83006872066013,4.742729573727057,2.256690949989836,5.566890279404467,7.258886618252395,2.986342959804106,7.862562958363108,3.654449267579968,5.383309431055102,6.830755030047294,5.067409376446431,4.148986183226065,1.664156444338114
(3,),4.542816442578641,7.052291992572362,7.188880042757641,6.16600914293014,2.038022871615743,0.6422971930237216,5.996619545883486,6.253315835701573,5.056007143725376,4.763784836654804,6.559751983064063,6.381793547383441,2.155502861681402,2.349610675327202,7.628906494822537,4.541846869759188,4.313827034981864,0.9724917819428255,0.1322551641761084,7.237478392842805,2.464650346241934,4.190177812086346,6.261564618986241,6.011034133478917,1.54141616553622,1.203416732801062,4.273435060087959,4.433114074262593,6.644714913618424,7.152566955116312,4.409686475492104,1.544102070724656,2.520209425201753,4.043730052126095,7.410526360187318,1.392837524871099,6.742013570487718,6.611205415362014,2.764790125910785,2.183270999939899,5.728318827121032,1.088686356371657,3.275146372941908,2.579725539311458,0.5332726047227365,2.354127953486161,0.05604232355794483,2.317693631925757,3.070196229774272,4.759442203740073
(4,),7.768695865713305,7.757271651626302,4.356799931726875,5.358096106570281,4.293195020141706,2.582237834302391,6.91814281493431,4.364787013146601,3.743533646179156,1.628759139660461,0.973222606099682,3.404178195747997,5.14021053297851,0.4902627431552137,0.01866763956186984,3.977026974412094,6.896416048425605,0.9748900360687819,5.999249713335747,5.593010591484209,1.52871096255583,6.843988806618639,7.04586022506206,4.828165236036146,4.729900582079398,1.364736934826351,2.819871340033319,5.537450784138726,5.655920634292795,6.209648003708455,6.380054414164803,4.005500948360145,0.7628916436381855,4.276971855993989,4.909980681752344,2.020531850240549,1.757561490294225,2.250306779944797,5.28012110593152,2.975622362601424,2.897829938162849,7.675491040592033,3.968069580738778,6.840430030148315,1.035141905098536,3.06343326817292,7.326545539876121,5.091806850371271,4.212439827525464,7.176465686795674
(5,),1.186466431215971,2.032899388800296,1.930065542317573,2.484213330127431,4.726407243178446,0.7401417290478515,0.9984846104622475,3.965171089117497,3.040598516264409,1.942288780166811,4.916438972526804,3.70145741993075,2.709499093595686,1.682178756895493,1.469359588214217,3.244806812482642,6.189927749439332,4.719501556319814,3.980049361009601,1.963424623933446,6.126914528401985,5.421932596146924,1.641773659390716,3.289186962450011,7.170637733794108,3.205829944686246,0.04750379509330942,5.852537754131445,3.452738523977063,7.88684122547775,3.155553897625486,4.807701348358481,5.064966947413238,5.722359980108338,3.137034839382487,3.445205706041969,2.459626681009452,6.150063897778069,4.623060072859,7.903718106888883,4.557208226894874,5.894386512446537,5.681105683452061,2.33908670001879,6.144717196226221,7.653962353621433,1.877021849302596,5.25927894760013,6.310308088558905,6.077706685725885
(6,),3.604709855821913,1.235088278570556,7.732141435905622,3.826521554004088,3.886074120637455,4.338607317567494,1.014469466873778,7.550237795018113,7.179348973808002,0.5188606938214846,6.678371727935288,4.495920274640788,4.681552416401449,1.214003728440604,4.115414577243192,7.370350011032095,3.243674050137789,4.133007392321192,1.85810793508844,1.25386177561348,3.792995420787192,1.037204889109896,6.185638169727643,5.255481667428652,4.511836446402998,0.3395315762266593,0.6122866744749698,7.212906460499839,2.558311698736995,2.904073117528472,5.781905101359144,0.1270854022490995,4.238833702587613,1.812442654808426,3.514619523550031,7.788337291730364,0.06971113254711592,3.527776228880883,4.420375299258811,6.52105027924439,6.54763849391127,4.496562444764362,6.527575956524397,7.571036296787455,6.527855110799597,4.502448518768216,5.05932882390476,1.564243288288924,7.065657203690904,2.474385578752066
(7,),0.1316472547685032,3.918256733908704,2.391785289322941,6.009374232510435,4.394967765236788,6.954745527992659,4.086778246377201,2.660267382203493,5.241450974180348,0.01034913842728998,6.054133306380871,7.703194295882636,5.088970416116668,7.336524182304914,4.225358613200854,2.610624177917029,7.014734098609939,2.899374002906133,2.212097599738146,2.044281690026282,2.057402433998799,0.7369841392041884,7.369353824812733,2.996228825217401,0.578507605105456,5.724445165687337,5.870234665368165,2.342407479128745,0.4130427415342516,3.94852388310858,3.492201860673229,2.345347145883763,7.953379691099896,4.930615932510696,4.674294304531732,6.247658445313182,3.35295314533646,3.849690516639544,2.972057281090184,3.593575501325071,4.592856202002805,5.535984057509462,6.622447951483285,1.959442546397485,3.898937088485314,0.5499875791964575,1.384292170428655,1.289616572342244,4.566931045713613,5.591836742793588
(8,),0.1715586422448205,4.839463785738506,5.996000573084639,4.967517034236934,3.173074557624438,2.979220211229497,1.805625923121098,2.996611488442626,7.877232179699386,1.317458202330513,7.551936640728003,7.176606006995779,4.658999568357591,3.497786935288876,6.406373379765727,5.698915567773492,2.223444709681649,3.232050540155611,6.996842431560861,5.782808296147476,2.601783351660857,5.299234870245068,3.755943550115818,3.459973537761209,5.355160206926637,2.831275203184574,7.565567410939026,3.330978900353349,1.245297434402522,6.316147247223287,6.608661527655849,0.04483343570390083,5.553466749262618,0.2876521681333397,3.690886845908537,1.47631816677854,6.564929371465508,1.281675770579054,1.139718115407787,1.259716186221286,3.485996147741822,3.999464519062126,6.531898547316849,7.545949595336226,1.859158015716686,1.474557989053971,1.927789865111629,4.672263232696678,5.98641656976603,1.445657511457925
(9,),7.769645211074867,0.5809164952028629,4.381928545759181,7.399390050899231,4.611226942072386,0.975115025469087,4.509697612368717,7.896342227862167,3.088003832337171,0.9178051082095405,3.398370843465275,3.83819271700519,3.006900915018782,2.602948167792543,0.1002135834530912,2.116169408943704,2.904474248343619,4.237931642555435,6.820220054645507,6.791635928246915,0.6757673791252718,5.687129209965243,4.057234887782183,0.8753161592442084,7.473428018089672,6.16879564126881,4.77578353193998,6.574521955829537,7.653331478930157,1.213575194626344,7.28742860768523,6.340784766670016,3.480490119045969,6.24654358462634,2.756340063684919,5.000424595519997,3.191444393783972,7.551006226428563,5.5247355189972,4.108918829946253,5.711213144075816,5.536815010811953,1.69976673826959,6.442559714451108,2.116889472655864,2.218628030474162,6.587560908486482,7.67610011421985,4.912417577782934,4.379526583105373
(10,),4.99543007356153,1.763190106206814,4.79157642854419,3.679211030243851,2.191221373013597,1.045077132073413,7.111663594802473,0.5369358538918308,1.194694718211726,1.379123439986309,2.903759188175661,0.3703060221831531,7.273666929282056,4.631405528286082,2.396651318396278,4.029415949392285,7.567014669758479,2.569395548533312,0.02931294363841594,4.265416386004317,5.294699273629337,6.631927849182479,3.922468765050021,7.910148085040642,1.822285558854622,7.095063747841721,4.627702375602654,5.745942445568514,3.498942688447749,1.678224003060127,2.012531583178267,3.923898782906968,1.75479280003808,5.918951192136505,2.568408724688845,3.137609286897637,3.107829830253365,5.599743948742221,7.605936545781099,0.5379192141137008,5.151515680077628,2.501266146851591,6.830084430149957,1.492509995095654,3.809213430378998,3.591149316174135,2.515131701201057,2.412598616082638,4.805763675354733,7.85870358814851
