index,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
5,419.3339,-419.3339,249.1451,-249.1451,35.59149,-35.59149,-63.78224,63.78224,-69.21206,69.21206,-37.90739,37.90739,-8.036621,8.036621,7.602193,-7.602193,10.93476,-10.93476,8.109036,-8.109036,4.027525,-4.027525,1.033676,-1.033676,-0.4322138,0.4322138,-0.7978071,0.7978071,-0.6351976,0.6351976,-0.3466513,0.3466513,-0.1206425,0.1206425,0.000588662,-0.000588662,0.0414167,-0.0414167,0.03999898,-0.03999898,0.02497114,-0.02497114,0.01110561,-0.01110561,0.003016509,-0.003016509,0.0001117564,-0.0001117564,-6.043737,6.043737,2.235153,-2.235153,4.254598,-4.254598,2.555025,-2.555025,0.3241743,-0.3241743,-0.9545918,0.9545918,-1.200222,1.200222,-0.8800035,0.8800035,-0.4398219,0.4398219,-0.113119,0.113119,0.05035945,-0.05035945,0.09279344,-0.09279344,0.0751081,-0.0751081,0.04199296,-0.04199296,0.01532953,-0.01532953,0.000575063,-0.000575063,-0.004697742,0.004697742,-0.004796044,0.004796044,-0.003093501,0.003093501,-0.001399744,0.001399744,-0.00032422,0.00032422,0.000154235,-0.000154235,0.0002599431,-0.0002599431,0.0001998764,-0.0001998764,9.478202e-5,-9.478202e-5,-1.198059e-5,1.198059e-5
6,-419.3339,419.3339,-249.1451,249.1451,-35.59149,35.59149,63.78224,-63.78224,69.21206,-69.21206,37.90739,-37.90739,8.036621,-8.036621,-7.602193,7.602193,-10.93476,10.93476,-8.109036,8.109036,-4.027525,4.027525,-1.033676,1.033676,0.4322138,-0.4322138,0.7978071,-0.7978071,0.6351976,-0.6351976,0.3466513,-0.3466513,0.1206425,-0.1206425,-0.000588662,0.000588662,-0.0414167,0.0414167,-0.03999898,0.03999898,-0.02497114,0.02497114,-0.01110561,0.01110561,-0.003016509,0.003016509,-0.0001117564,0.0001117564,6.043737,-6.043737,-2.235153,2.235153,-4.254598,4.254598,-2.555025,2.555025,-0.3241743,0.3241743,0.9545918,-0.9545918,1.200222,-1.200222,0.8800035,-0.8800035,0.4398219,-0.4398219,0.113119,-0.113119,-0.05035945,0.05035945,-0.09279344,0.09279344,-0.0751081,0.0751081,-0.04199296,0.04199296,-0.01532953,0.01532953,-0.000575063,0.000575063,0.004697742,-0.004697742,0.004796044,-0.004796044,0.003093501,-0.003093501,0.001399744,-0.001399744,0.00032422,-0.00032422,-0.000154235,0.000154235,-0.0002599431,0.0002599431,-0.0001998764,0.0001998764,-9.478202e-5,9.478202e-5,1.198059e-5,-1.198059e-5
7,249.1451,-249.1451,522.5219,-522.5219,206.6036,-206.6036,-54.75773,54.75773,-134.1051,134.1051,-100.7276,100.7276,-40.21065,40.21065,2.645603,-2.645603,19.53833,-19.53833,19.02019,-19.02019,11.82867,-11.82867,4.804377,-4.804377,0.4711505,-0.4711505,-1.266091,1.266091,-1.424911,1.424911,-0.9635885,0.9635885,-0.4535824,0.4535824,-0.1135234,0.1135234,0.04354537,-0.04354537,0.08074313,-0.08074313,0.06389702,-0.06389702,0.03535111,-0.03535111,0.01381236,-0.01381236,0.003016509,-0.003016509,-9.85232,9.85232,0.6381914,-0.6381914,7.409686,-7.409686,6.381437,-6.381437,2.269192,-2.269192,-1.025678,1.025678,-2.318747,2.318747,-2.108243,2.108243,-1.29751,1.29751,-0.5262687,0.5262687,-0.04667812,0.04667812,0.1489959,-0.1489959,0.168102,-0.168102,0.1154926,-0.1154926,0.05585033,-0.05585033,0.01510712,-0.01510712,-0.004366293,0.004366293,-0.009456107,0.009456107,-0.007775246,0.007775246,-0.004399808,0.004399808,-0.001674377,0.001674377,-0.0001542079,0.0001542079,0.0004121631,-0.0004121631,0.000450844,-0.000450844,0.0002833463,-0.0002833463,7.082084e-5,-7.082084e-5
8,-249.1451,249.1451,-522.5219,522.5219,-206.6036,206.6036,54.75773,-54.75773,134.1051,-134.1051,100.7276,-100.7276,40.21065,-40.21065,-2.645603,2.645603,-19.53833,19.53833,-19.02019,19.02019,-11.82867,11.82867,-4.804377,4.804377,-0.4711505,0.4711505,1.266091,-1.266091,1.424911,-1.424911,0.9635885,-0.9635885,0.4535824,-0.4535824,0.1135234,-0.1135234,-0.04354537,0.04354537,-0.08074313,0.08074313,-0.06389702,0.06389702,-0.03535111,0.03535111,-0.01381236,0.01381236,-0.003016509,0.003016509,9.85232,-9.85232,-0.6381914,0.6381914,-7.409686,7.409686,-6.381437,6.381437,-2.269192,2.269192,1.025678,-1.025678,2.318747,-2.318747,2.108243,-2.108243,1.29751,-1.29751,0.5262687,-0.5262687,0.04667812,-0.04667812,-0.1489959,0.1489959,-0.168102,0.168102,-0.1154926,0.1154926,-0.05585033,0.05585033,-0.01510712,0.01510712,0.004366293,-0.004366293,0.009456107,-0.009456107,0.007775246,-0.007775246,0.004399808,-0.004399808,0.001674377,-0.001674377,0.0001542079,-0.0001542079,-0.0004121631,0.0004121631,-0.000450844,0.000450844,-0.0002833463,0.0002833463,-7.082084e-5,7.082084e-5
9,35.59149,-35.59149,206.6036,-206.6036,435.0849,-435.0849,126.6891,-126.6891,-102.107,102.107,-150.0956,150.0956,-97.89912,97.89912,-30.80848,30.80848,11.29931,-11.29931,24.86751,-24.86751,21.24639,-21.24639,12.14749,-12.14749,4.333455,-4.333455,-0.1076931,0.1076931,-1.674666,1.674666,-1.628212,1.628212,-1.02386,1.02386,-0.4438424,0.4438424,-0.08384049,0.08384049,0.06911543,-0.06911543,0.09560295,-0.09560295,0.0695646,-0.0695646,0.03535111,-0.03535111,0.01110561,-0.01110561,-9.406306,9.406306,-2.05828,2.05828,4.758468,-4.758468,8.49122,-8.49122,5.72941,-5.72941,1.076497,-1.076497,-2.052252,2.052252,-2.940508,2.940508,-2.367413,2.367413,-1.334435,1.334435,-0.4701238,0.4701238,0.0229874,-0.0229874,0.1989514,-0.1989514,0.1935885,-0.1935885,0.1235396,-0.1235396,0.05509821,-0.05509821,0.01165479,-0.01165479,-0.007484141,0.007484141,-0.01133979,0.01133979,-0.008570159,0.008570159,-0.004549028,0.004549028,-0.001559592,0.001559592,2.768514e-6,-2.768514e-6,0.0005267302,-0.0005267302,0.0005230018,-0.0005230018,0.0003534987,-0.0003534987
10,-35.59149,35.59149,-206.6036,206.6036,-435.0849,435.0849,-126.6891,126.6891,102.107,-102.107,150.0956,-150.0956,97.89912,-97.89912,30.80848,-30.80848,-11.29931,11.29931,-24.86751,24.86751,-21.24639,21.24639,-12.14749,12.14749,-4.333455,4.333455,0.1076931,-0.1076931,1.674666,-1.674666,1.628212,-1.628212,1.02386,-1.02386,0.4438424,-0.4438424,0.08384049,-0.08384049,-0.06911543,0.06911543,-0.09560295,0.09560295,-0.0695646,0.0695646,-0.03535111,0.03535111,-0.01110561,0.01110561,9.406306,-9.406306,2.05828,-2.05828,-4.758468,4.758468,-8.49122,8.49122,-5.72941,5.72941,-1.076497,1.076497,2.052252,-2.052252,2.940508,-2.940508,2.367413,-2.367413,1.334435,-1.334435,0.4701238,-0.4701238,-0.0229874,0.0229874,-0.1989514,0.1989514,-0.1935885,0.1935885,-0.1235396,0.1235396,-0.05509821,0.05509821,-0.01165479,0.01165479,0.007484141,-0.007484141,0.01133979,-0.01133979,0.008570159,-0.008570159,0.004549028,-0.004549028,0.001559592,-0.001559592,-2.768514e-6,2.768514e-6,-0.0005267302,0.0005267302,-0.0005230018,0.0005230018,-0.0003534987,0.0003534987
11,-63.78224,63.78224,-54.75773,54.75773,126.6891,-126.6891,383.4276,-383.4276,103.0579,-103.0579,-106.861,106.861,-145.9819,145.9819,-91.84326,91.84326,-26.1089,26.1089,13.88814,-13.88814,25.80685,-25.80685,21.27947,-21.27947,11.85558,-11.85558,4.033829,-4.033829,-0.3031707,0.3031707,-1.765093,1.765093,-1.650928,1.650928,-1.015712,1.015712,-0.4282596,0.4282596,-0.07148414,0.07148414,0.07527711,-0.07527711,0.09560295,-0.09560295,0.06389702,-0.06389702,0.02497114,-0.02497114,-6.405267,6.405267,-3.483365,3.483365,0.3906217,-0.3906217,5.081983,-5.081983,7.882242,-7.882242,4.959035,-4.959035,0.4974704,-0.4974704,-2.368967,2.368967,-3.056316,3.056316,-2.372711,2.372711,-1.299375,1.299375,-0.4333483,0.4333483,0.04745613,-0.04745613,0.2106195,-0.2106195,0.1968132,-0.1968132,0.1227935,-0.1227935,0.05329922,-0.05329922,0.01015272,-0.01015272,-0.008350181,0.008350181,-0.01169144,0.01169144,-0.008640012,0.008640012,-0.004521535,0.004521535,-0.001526729,0.001526729,4.100175e-5,-4.100175e-5,0.0006549342,-0.0006549342,0.0008961196,-0.0008961196
12,63.78224,-63.78224,54.75773,-54.75773,-126.6891,126.6891,-383.4276,383.4276,-103.0579,103.0579,106.861,-106.861,145.9819,-145.9819,91.84326,-91.84326,26.1089,-26.1089,-13.88814,13.88814,-25.80685,25.80685,-21.27947,21.27947,-11.85558,11.85558,-4.033829,4.033829,0.3031707,-0.3031707,1.765093,-1.765093,1.650928,-1.650928,1.015712,-1.015712,0.4282596,-0.4282596,0.07148414,-0.07148414,-0.07527711,0.07527711,-0.09560295,0.09560295,-0.06389702,0.06389702,-0.02497114,0.02497114,6.405267,-6.405267,3.483365,-3.483365,-0.3906217,0.3906217,-5.081983,5.081983,-7.882242,7.882242,-4.959035,4.959035,-0.4974704,0.4974704,2.368967,-2.368967,3.056316,-3.056316,2.372711,-2.372711,1.299375,-1.299375,0.4333483,-0.4333483,-0.04745613,0.04745613,-0.2106195,0.2106195,-0.1968132,0.1968132,-0.1227935,0.1227935,-0.05329922,0.05329922,-0.01015272,0.01015272,0.008350181,-0.008350181,0.01169144,-0.01169144,0.008640012,-0.008640012,0.004521535,-0.004521535,0.001526729,-0.001526729,-4.100175e-5,4.100175e-5,-0.0006549342,0.0006549342,-0.0008961196,0.0008961196
13,-69.21206,69.21206,-134.1051,134.1051,-102.107,102.107,103.0579,-103.0579,375.835,-375.835,103.4581,-103.4581,-103.925,103.925,-143.2216,143.2216,-90.10588,90.10588,-25.31947,25.31947,14.08735,-14.08735,25.74217,-25.74217,21.15168,-21.15168,11.75288,-11.75288,3.976086,-3.976086,-0.3255062,0.3255062,-1.76769,1.76769,-1.645825,1.645825,-1.009623,1.009623,-0.4242907,0.4242907,-0.07148414,0.07148414,0.06911543,-0.06911543,0.08074313,-0.08074313,0.03999898,-0.03999898,-3.080053,3.080053,-3.287607,3.287607,-2.462024,2.462024,0.3653605,-0.3653605,4.716908,-4.716908,7.530099,-7.530099,4.733158,-4.733158,0.3918859,-0.3918859,-2.398087,2.398087,-3.050174,3.050174,-2.35724,2.35724,-1.28636,1.28636,-0.4257634,0.4257634,0.05057704,-0.05057704,0.2111839,-0.2111839,0.1963542,-0.1963542,0.122173,-0.122173,0.0528506,-0.0528506,0.009914749,-0.009914749,-0.008453683,0.008453683,-0.01175136,0.01175136,-0.008715598,0.008715598,-0.004612786,0.004612786,-0.001541668,0.001541668,0.0003241886,-0.0003241886,0.001592976,-0.001592976
