index,1,2,3,4,5
(1,),0.150461870949947,0.6146114236521004,-0.1920936578898926,0.1423306084793411,0.314593427815708
(2,),0.5781498607499174,-0.8777208355660593,-0.4871105294597039,0.08069616406022218,0.5333150526950436
(3,),0.6733964176277173,0.821361712636941,-0.6362895153176024,-0.1668623591975904,0.4844510161516797
(4,),0.02178828856780107,-0.6870262696446858,0.6037565995000364,0.656444941715784,-0.7672225873503074
(5,),0.3234718476808109,0.09065677363297642,0.5181388505539339,0.2654665705287315,0.4716614094288767
(6,),-0.777638153669392,0.5016808351272322,-0.4232914337302197,-0.5733227741783605,-0.2694051617302142
(7,),-0.3044276245894781,0.1511549038842313,-0.4306121125871018,-0.2927118638834879,-0.5235385214288959
(8,),-0.2916552369044046,0.563298492232844,-0.1874388680634379,-0.0804343180098181,-0.6133975588363662
(9,),0.4006229133183583,-0.09052529845970125,0.1165730521283562,0.5908754879700937,-0.333900231253123
(10,),0.1658687499604813,-0.6792661799923096,-0.1001306847797724,-0.5010796814942764,-0.484359839115339
(11,),0.4925291991280469,-0.0208249575427647,-0.6992881184946664,0.2552860322586463,-0.5623500067634054
(12,),0.1834150673699817,-0.7673854549251778,0.4494105202406332,-0.2023666046199842,-0.3644650062018672
(13,),0.0696018458296298,-0.0991259154270221,0.4226232788834868,0.5037555330506874,-0.4970184322938743
(14,),-0.159283412972403,0.5239429430161533,-0.373446390462978,0.6511767287530772,-0.3494610170569129
(15,),-0.290355684944146,-0.1439395073934711,-0.1829439048208975,0.6510119699706023,0.1616958515433563
(16,),-0.346793751030278,0.7577149476217662,-0.2275199819274664,-0.3353259415465125,-0.2185716465772618
(17,),0.09852602325968474,-0.7793606132883055,0.06796555176656677,-0.3695172339006372,0.5445056760100739
(18,),0.1051105201979918,0.2971742464102196,0.0608461244538121,-0.389686046410967,0.1053250916155156
(19,),0.2777655749812443,0.340500336321652,-0.3632031548742499,-0.6782234688960131,-0.2953542243317576
(20,),-0.442564077711405,-0.7183940976416653,0.3381906015217493,-0.0133394441461116,-0.2867132013537524
(21,),-0.6416371647396941,0.4987674203076822,-0.2830793503694254,-0.212371384086498,-0.07876969677728907
(22,),-0.02942126584779975,0.02000108460209205,0.04498995918740395,0.6256875441194895,0.1210256525018452
(23,),-0.3458514454366426,-0.5240476674572234,-0.1947895234432511,-0.3891835661839809,-0.3483556743527941
(24,),0.09696963625426527,-0.6661586425506383,0.461081475560626,-0.4166316534573674,0.1444145467271706
(25,),0.3074797077490578,-0.02753458189281699,0.3894450009917382,0.06046294456855483,-0.7405061125714903
(26,),-0.8345031552741781,-0.1029899990888972,-0.5663762618290307,-0.3208245509450521,-0.2788662335545925
(27,),0.2203914186979311,0.5530437611530996,-0.01890674437937645,-0.8124471612375671,0.345039871404309
(28,),-0.1243210459068219,-0.6350099663590271,-0.2162443991945332,-0.8273327791878462,-0.9145609153581875
(29,),-0.3858508221836036,0.1024495261642098,0.2414099709947167,-0.3287797769143503,-0.9734476995553933
(30,),0.3064606970924992,-0.2519544497479683,0.6614663813689641,-0.3569185063683604,-0.09223706381156538
(31,),-0.537642457197035,0.1658563436086955,0.01054465443714714,-0.07716094065881124,0.1808729918676311
(32,),-0.2304681218295104,0.5784521638518454,0.8701986182844172,0.8535558037797927,0.4163220228962179
(33,),-0.1161725092680924,0.04036899839690811,-0.3059923838678974,-0.0698112277243208,0.162030091733358
(34,),0.31930448981249,-0.3820401546454504,-0.587024001994159,-0.1729171648532777,0.5755459431378833
(35,),-0.1960268801338872,0.3669560823883002,0.1175998521687249,-0.8218328504451335,0.9073421809812809
(36,),0.1526467407124671,-0.1033452869794059,-0.3646856833354214,-0.3003653764857093,0.2461419218165046
(37,),0.4959874477290813,0.5248679735472779,0.05879619732391317,-0.7172875530110023,0.8465479701336841
(38,),-0.1382633925112072,-0.1096530192012078,-0.06617775513551978,-0.04429784266843129,0.2959898462613859
(39,),0.06643641852758214,0.197193047839748,-0.1401623989855711,0.3735434319066462,0.08746163247920635
(40,),0.03987555706761436,0.5354697183272524,-0.2365661651223641,-0.205890706597352,0.6006451223002809
(41,),-0.06479817289230139,-0.6023530201690878,0.02653347360198088,0.03025085518364581,0.3866563525316469
(42,),0.06520713018927515,-0.3453987930291197,-0.133513357737901,-0.4900483692126523,-0.4902464513652107
(43,),0.9575059434838712,0.5815023266291329,0.3040149454400355,-0.2609531003829151,-0.7336197983456159
(44,),0.0539876835662505,0.106838215409397,-0.6983003117412905,-0.1931048970327445,0.8873648322087732
(45,),-0.1233862802451184,0.4121137814473708,0.6378221223841063,0.2988595270420956,0.1058628741663638
